rang,nom,market_cap_(Mds_EUR),pays
extracted_at_europe_paris,2025-12-18T12:47:16+01:00,,
1,China Mobile,201.64,Chine
2,T-Mobile US,191.35,USA
3,AT&T,148.54,USA
4,Verizon,146.99,USA
5,Deutsche Telekom,135.91,Allemagne
6,SoftBank,125.70,Japon
7,Bharti Airtel,120.40,Inde
8,Comcast,95.46,USA
9,China Telecom,72.39,Chine
10,American Tower,71.27,USA
11,NTT (Nippon Telegraph & Telephone),70.25,Japon
12,KDDI,56.49,Japon
13,America Movil,52.92,Mexique
14,Singtel,49.36,Singapour
15,Saudi Telecom Company,47.92,A. Saoudite
16,Orange,37.00,France
17,Emirates Telecom (Etisalat Group),36.35,EAU
18,Crown Castle,32.77,USA
19,Swisscom,31.47,Suisse
20,Telstra,30.58,Australie
21,China Unicom,28.10,Hong Kong
22,Chunghwa Telecom,27.13,Taïwan
23,Vodafone,25.81,UK
24,Advanced Info Service (AIS),24.99,Thaïlande
25,EchoStar,24.76,USA
26,Ciena,24.52,USA
27,Charter Communications,24.42,USA
28,China Tower,22.81,Chine
29,CK Hutchison Holdings,22.70,Hong Kong
30,ZTE,21.15,Chine
31,BT Group,20.74,UK
32,Telefónica,19.48,Espagne
33,AST SpaceMobile,19.38,USA
34,BCE,18.41,Canada
35,Telkom Indonesia,17.99,Indonésie
36,Cellnex Telecom,17.87,Espagne
37,SBA Communications,17.35,USA
38,Rogers Communication,17.24,Canada
39,Telus,16.73,Canada
40,Telenor,16.64,Norvège
41,Telefonica Brasil,16.19,Brésil
42,KPN,15.52,Pays-Bas
43,MTN Group,14.72,A. du Sud
44,Telia Company,13.97,Suède
45,Vodacom,13.40,A. du Sud
46,Airtel Africa,13.30,UK
47,China Satellite Communications,12.66,Chine
48,Vodafone Idea,11.58,Inde
49,Etihad Etisalat (Mobily),11.39,A. Saoudite
50,Zegona Communications,11.19,UK
51,Telecom Italia,10.79,Italie
52,True Corporation,10.30,Thaïlande
53,Indus Towers,10.18,Inde
54,Emirates Integrated Telecommunications Company,10.03,EAU
55,Ooredoo Qatar,9.77,Qatar
56,Tele2,9.71,Suède
57,Hong Kong Telecom,9.68,Hong Kong
58,Ooredoo,8.80,EAU
59,Taiwan Mobile,8.54,Taïwan
60,Far EasTone,8.54,Taïwan
61,TIM S.A.,8.52,Brésil
62,Bharti Hexacom,8.33,Inde
63,Frontier Communications,8.14,USA
64,Celcomdigi,8.05,Malaisie
65,SK Group,7.91,Corée S.
66,KT Corporation,7.83,Corée S.
67,Millicom,7.59,Luxembourg
68,Quebecor,7.38,Canada
69,InterDigital,7.15,USA
70,INWIT,6.97,Italie
71,OTE Group,6.75,Grèce
72,Lumen Technologies,6.67,USA
73,SK Telecom,6.47,Corée S.
74,Maxis Berhad,6.37,Malaisie
75,Indoritel,6.37,Indonésie
76,Telekom Malaysia,6.28,Malaisie
